sample_id,speaker_name,reference_text,prediction_text,cer
train-00000-of-00232_000000,Danil,значит вот такая вот окружность,такая вот окружность,0.333333
train-00000-of-00232_000001,Danil,а здесь пять вторых без квадрата,здесь пять вторых без квадрата,0.037037
train-00000-of-00232_000002,Danil,убеждаться что вы их умеете решать,убеждаться что в их умеете решать,0.034483
train-00000-of-00232_000003,Danil,надо найти другой его острый угол,надо найти другой его острый угол,0.000000
train-00000-of-00232_000004,Danil,дальше минус теперь наоборот числитель не трогаем,дальше минус теперь наоборот числитель не трогаем,0.000000
train-00000-of-00232_000005,Danil,с помощью вот этих вот двух,с помощью вот этих вот двух,0.000000
train-00000-of-00232_000006,Danil,эту формулу п умножить на тридцать три минус три п,формулу умножить на тридцать три минус три,0.121951
train-00000-of-00232_000007,Danil,сверху шесть в степени минус три и в степени два,шесть степеней минус три и в степени два,0.230769
train-00000-of-00232_000008,Danil,самый касательный радиус мы знаем он равен корню из пятнадцати ну и касательное значит здесь это будет равно минус,касательный радиус мы знаем он равен корню из пятнадцать но и ценный значок здесь это будет равно,0.239583
train-00000-of-00232_000009,Danil,и что четвертый тоже свободен,и что четвертый тоже свободен,0.000000
train-00000-of-00232_000010,Danil,пользоваться мы будем формулой с равно в умножить на т,пользоваться мы будем формулой равно умножить на,0.066667
train-00000-of-00232_000011,Danil,так вот поэтому логарифм определен при положительном основании и аргументе,так вот поэтому логарифм определен при положительном основании и аргументе,0.000000
train-00000-of-00232_000012,Danil,на самом деле 23й,на самом деле двадцать третий,0.928571
train-00000-of-00232_000013,Danil,далее сказано что углы прилежащие к большему основанию,далее сказано что углы прилежащие к больше основания,0.063830
train-00000-of-00232_000014,Danil,функций больше нуля но мы здесь прекрасно,функции больше нуля но мы здесь рено,0.171429
train-00000-of-00232_000015,Danil,один шаг значит минус один,один шаг значит минус один,0.000000
train-00000-of-00232_000016,Danil,площадь всего круга равна пи р в квадрате,площадь всего круга равна в квадрате,0.088235
train-00000-of-00232_000017,Danil,здесь аналогично числитель и знаменатель это смешанные числа,здесь аналогично числитель из менателя это смешанные числа,0.056604
train-00000-of-00232_000018,Danil,то есть их стоимость как раз не превышает двенадцать тысяч рублей,ает,0.945455
train-00000-of-00232_000019,Danil,что мне нужна такая формула,что мне нужна такая формула,0.000000
train-00000-of-00232_000020,Danil,итак минус одна десятая в кубе,итак минус одна десятая в кубе,0.000000
train-00000-of-00232_000021,Danil,каждый раз там под вращением ручки,каждый раз там под вращением ручки,0.000000
