sample_id,speaker_name,reference_text,prediction_text,cer
train-00000-of-00232_000000,Danil,значит вот такая вот окружность,начну такая вот окружность,0.222222
train-00000-of-00232_000001,Danil,а здесь пять вторых без квадрата,а здесь 52 без квадрата,0.370370
train-00000-of-00232_000002,Danil,убеждаться что вы их умеете решать,убеждаться что вы их умеете решать,0.000000
train-00000-of-00232_000003,Danil,надо найти другой его острый угол,надо найти другой его острый угол,0.000000
train-00000-of-00232_000004,Danil,дальше минус теперь наоборот числитель не трогаем,дальше минус теперь наоборот числитель не трогаем,0.000000
train-00000-of-00232_000005,Danil,с помощью вот этих вот двух,с помощью этих двух,0.272727
train-00000-of-00232_000006,Danil,эту формулу п умножить на тридцать три минус три п,эту формулу p умножить на 333p,0.512195
train-00000-of-00232_000007,Danil,сверху шесть в степени минус три и в степени два,сверху 6 в степени минус 3 и в степени 2,0.282051
train-00000-of-00232_000008,Danil,самый касательный радиус мы знаем он равен корню из пятнадцати ну и касательное значит здесь это будет равно минус,самый касательный радиус мы знаем он равен корню из 15 ну и стильное значит здесь это будет равно минус,0.145833
train-00000-of-00232_000009,Danil,и что четвертый тоже свободен,и что четвертый тоже свободен,0.000000
train-00000-of-00232_000010,Danil,пользоваться мы будем формулой с равно в умножить на т,пользоваться мы будем формулой s равно v умножить на t,0.066667
train-00000-of-00232_000011,Danil,так вот поэтому логарифм определен при положительном основании и аргументе,так вот поэтому алгорифм определен при положительном основании и аргументе,0.046154
train-00000-of-00232_000012,Danil,на самом деле 23й,на самом деле 23й,0.000000
train-00000-of-00232_000013,Danil,далее сказано что углы прилежащие к большему основанию,далее сказано что углы прилежащие к большим основаниям,0.085106
train-00000-of-00232_000014,Danil,функций больше нуля но мы здесь прекрасно,функции больше 0 но мы здесь прекрасно,0.142857
train-00000-of-00232_000015,Danil,один шаг значит минус один,один шаг значит минус один,0.000000
train-00000-of-00232_000016,Danil,площадь всего круга равна пи р в квадрате,площадь всего круга равна πr в квадрате,0.088235
train-00000-of-00232_000017,Danil,здесь аналогично числитель и знаменатель это смешанные числа,здесь аналогичный числитель и издименатель это смешанное число,0.132075
train-00000-of-00232_000018,Danil,то есть их стоимость как раз не превышает двенадцать тысяч рублей,то я как раз не превышаю,0.690909
train-00000-of-00232_000019,Danil,что мне нужна такая формула,что мне нужна такая формула,0.000000
train-00000-of-00232_000020,Danil,итак минус одна десятая в кубе,итак минус 1 десятая в кубе,0.160000
train-00000-of-00232_000021,Danil,каждый раз там под вращением ручки,каждый раз там под вращением ручки,0.000000
train-00000-of-00232_000022,Danil,в трапеции авцд известно что ав равно цд,в тракеции a b c d известно что a b равно c d,0.272727
train-00000-of-00232_000023,Danil,значит корни т это минусы,значит корни ты – это минус,0.142857
train-00000-of-00232_000024,Danil,может быть их вообще нет,может быть их вообще нет,0.000000
train-00000-of-00232_000025,Danil,модуль а то есть мы берем и симметрично отражаем относительно нуля откладываем такой же по длине отрезок только уже,модуль а то есть мы берем и симметрично отражаем относительно нуля откладываем такой же подлинний отрезок только уже,0.030928
train-00000-of-00232_000026,Danil,курса вконтактесейчас перед вами группа вконтакте ссылка на нее также есть в описании к видео,курса вконтакте сейчас перед вами группа вконтакте ссылка на нее также есть в описании к видео,0.000000
train-00000-of-00232_000027,Danil,так что три пятых шесть десятых то есть ноль целых шесть десятых,так что трепетых шестьдесят,0.566038
train-00000-of-00232_000028,Danil,вам просто так поставят,вам просто так поставить,0.100000
train-00000-of-00232_000029,Danil,то есть это двадцать семь ста тысячных,то есть это 27 100 тысячных,0.468750
train-00000-of-00232_000030,Danil,восемь на тридцать пять и разделить на семь то есть сорок это вообще меньше семнадцать мы не берем потому что это тридцать шесть пополам,8 на 35 и разделить на 7 то есть 40 и это вообще не сниматься мы не берем потому что это 36 попало,0.477876
train-00000-of-00232_000031,Danil,сколько изделий при таких условиях может изготовить завод за смену,сколько изделий при таких условиях может готовить завод за смену,0.035088
train-00000-of-00232_000032,Danil,то есть формулу а в степени н в степени к,с формулу a в степени n в степени k,0.250000
train-00000-of-00232_000033,Danil,девять в степени синус икс равно тройку я представлю как девять в степени одна вторая,9 степени sin x равно тройку я представлю как 9 степени одна вторая,0.309859
train-00000-of-00232_000034,Danil,то шесть тридцать шесть плюс два тридцать восемь,36 плюс 2 38,0.902439
train-00000-of-00232_000035,Danil,больше им равно чем ноль,больше и обравно чем 0,0.300000
train-00000-of-00232_000036,Danil,то есть ничего не остается кроме как пункт один,то есть г ничего не остается кроме какогото,0.205128
train-00000-of-00232_000037,Danil,вот здесь было такое уравнение,вот здесь было такое уравнение,0.000000
train-00000-of-00232_000038,Danil,тут будет девять четвертых умножить на р в квадрате умножить на двадцать,тут будет 9 четвертых умножить на r в квадрате умножить на 20,0.245902
train-00000-of-00232_000039,Danil,восемь минус три это уже пять третьих,83 тоже 5 третих,0.677419
train-00000-of-00232_000040,Danil,минус семь и семь,минус 7 и 7,0.571429
train-00000-of-00232_000041,Danil,эта сторона относится к этой,эта сторона относится к этой,0.000000
train-00000-of-00232_000042,Danil,я для тех кто сейчас подключился еще раз скажу что,я для тех кто сейчас подключился еще раз скажу что,0.000000
train-00000-of-00232_000043,Danil,то тогда опять же задавайте его в комментариях в соответствующий,кто тогда опять же задавайте его в комментариях соответствующие,0.054545
train-00000-of-00232_000044,Danil,что мы не увидим,что мы не увидим треугольный,0.846154
train-00000-of-00232_000045,Danil,остается но я это поставлю на первое место потому что тогда это слагаемое будет с плюсом,остается но я это поставлю на первое место потому что тогда это слабейно будет с плюсом,0.068493
train-00000-of-00232_000046,Danil,ей мы сопоставим число ноль,ей мы сопоставим число 0,0.173913
train-00000-of-00232_000047,Danil,этот сто пятьдесят тридцать плюс сто пятьдесят сто восемьдесят,этот 150 30 плюс 150 180,0.851852
train-00000-of-00232_000048,Danil,давайте стало сколько стало при двух тысячах,давайте стало сколько стало при двух тысячах,0.000000
train-00000-of-00232_000049,Danil,шестьдесят шестьпериметр прямоугольной трапеции описанной около окружности равен двадцать дваее большая боковая сторона равна семьнайти радиус окружностину во первых,66 периметр прямоугольной трапеции описанной около кружности равен 22 ее большая боковая сторона равна 7 найти радиус окружности ну вопервых,0.210884
train-00000-of-00232_000050,Danil,по второму уравнению логарифм одного по основанию а этот логарифм,уравнение логарифм 1,0.714286
train-00000-of-00232_000051,Danil,ладно давайте посмотрим что там у вас за вопросы,ладно давайте потом у вас за вопрос,0.275000
train-00000-of-00232_000052,Danil,ладно давайте решим наконец двадцатую задачу,ладно давайте решим наконец двадцатую задачу,0.000000
train-00000-of-00232_000053,Danil,разумеется так получается неправильный ответ,разумеется так получается неправильный ответ,0.000000
train-00000-of-00232_000054,Danil,и такая же сзади тоже двадцать пять на два вот,и такая же сзади тоже 25х2 вот сзади него,0.459459
train-00000-of-00232_000055,Danil,оно составляет сто процентов от самого себя,оно составляет 100 процентов,0.405405
train-00000-of-00232_000056,Danil,надо найти наименьшую температуру за двадцать девятое мая,надо найти на и меньшую температуру за 29 мая,0.300000
train-00000-of-00232_000057,Danil,здесь это не пригодится но вообще бывают задачи когда,здесь это не пригодится но вообще бывают задачи когда,0.000000
train-00000-of-00232_000058,Danil,так что среднее время которое он тратит на дорогу на работу тридцать семь минут,так что среднее время которое он тратит на дорогу на работу 37 минут,0.181818
train-00000-of-00232_000059,Danil,значит одна третья умножить на авс,значит 1 3 умножить на a b c,0.448276
train-00000-of-00232_000060,Danil,что иван и игорь оказались в разных группах,что иван и игорь оказались в разных группах,0.000000
train-00000-of-00232_000061,Danil,если бы мы решали уравнение где вот эта знаменательная,если вы мы решали уравнение где вот это знанать,0.195652
train-00000-of-00232_000062,Danil,тут все задачи генерируются автоматически можно сколько угодно раз нажимать аналогично и получать такую же задачу только с другими числами,тут все задачи генерируются автоматически можно сколько угодно раз нажимать аналогично и получать такую же задачу только с другими числами,0.000000
train-00000-of-00232_000063,Danil,равен сумме двух внутренних углов а и в не смежных с ним,равен сумме двух внутренних углов а и б не смешных с ним,0.044444
train-00000-of-00232_000064,Danil,а ее длина равна двадцать километров пятьсот метров,а ее длина равна 20 километров 500 метров,0.340909
train-00000-of-00232_000065,Danil,пять на три на пять,5 на 3 на 5,0.733333
train-00000-of-00232_000066,Danil,то есть минус пять икс равно минус пятнадцать ну и теперь,то есть минус 5x равно минус 15 ну и теперь,0.361702
train-00000-of-00232_000067,Danil,больше всего занимает место вот этот сектор в клеточку,больше всего занимает место вот этот сектор клеточку,0.021739
train-00000-of-00232_000068,Danil,тоже можем подписать что это сила в тоннах силы,тоже можем подписать что это сила в тонных силах,0.076923
